Doublehanded (DH1)
27;NOR-11646;Stein PAULI;HORT;Hanse 400E;Goodny V
28;NOR-14739;Steingrim BERSVENDSEN;BÆRU;Bavaria 40 Sport;Deidrès Samba IV
29;G-13;Trygve BERGSLAND;KNS;9mR;Solgang II
30;NOR-13911;Andreas HAUG;FROG;A 35;Flaks
31;NOR-13891;Johnny DOLVIK;BUND;Bavaria 40 Vision;Carisma
32;NOR-15469;Kristian ASLAKSRUD;SOON;Sun OD 39i;Kjærsten Vår

NOR-Rating (NOR-R5)
1;NOR-15159;Øystein MISJE;HOLM;Shaw 9;Karma Police
2;NOR-13540;Aasmund DROLSUM;BUND;King 40;Magic
3;NOR-12243;Calle ANDERSEN;ASKR;Landmark 43;GAME
4;NOR-14643;Truls OLSEN;FRED;Dehler 41 SV DK;Begge Dehler
5;NOR-15560;Per SORTEDAL;BREV;Aquatich 40;Snakkas
6;NOR-15666;Jon Sverre HOIDEN;BUND;Sinergia 40;Sons of Hurricanes
7;NOR-13697;Erik KRISTER;SASF;First 40;Flash V
8;SWE-8790;Per ASP;NESO;ILC 40;CarbonCave
9;NOR-10442;Per AASERUD;KNS;X-442 Mk II;Windmachine
10;NOR-3;Jens GRAN;KNS;One Off;Anahita
11;NOR-4444;Hans WANG;KNS;X-40 Dyp kjøl;Kjappfot
12;NOR-14760;Håkon HJORTHØY;ASKR;Grand Soleil 43 BC;Illuminati
13;NOR-15678;Pål KLAVENES;BREV;Elan 410;Berenike
14;NOR-85;Jørgen G HEJE;KNS;J111;Dacapo
15;NOR-10116;Petter ALBREKTSEN;BÆRU;IMX 40;no eXcuse
16;NOR-11172;Iver IVERSEN;NESO;Grand Soleil 42 R;Tango II
17;NOR-12538;Eivind BAKKE;BUND;Hanse 430;Masito
18;NOR-487;Aron HEIMONEN;BUND;Melges 32;Hotshot
19;NOR-12042;Christian HALL;KNS;X-43;Bjørnstjerne
20;NOR-13853;Kristin NESHEIM;KNS;IMX 45;philoXenia
21;NOR-10240;Audun GJØSTEIN;ASKR;FIRST 40.7;Fritt Fram!
22;NOR-14500;Stian MÆLAND;BUND;First 40;Mystique
23;NOR-10016;Erik TOFTENES;ASKR;LUFFE 43 DS;Lufelia
24;NOR-11169;Christian Stentoft ØSTBY;KNS;X-40;Noomi II
25;NOR-14793;Anne-Grethe STAIB;BUND;Hanse 430;Råtass
26;NOR-9770;Knut-Olav Brekke TOMTEN;BUND;FIRST 40.7;Teraπ
27;NOR-13131;Alexander THØGERSEN;;First 40.7;Rabalder

NOR-Rating U/Spinnaker
1;NOR-13472;Jan-Ivar MELDRE;HOLM;Grand Soleil 40;Vaiana
2;NOR-13394;Jan MAGNUSSEN;HOLM;Elan 40 dyp kjøl;La Nina
3;NOR-11942;Stein-Erik CARLSEN;RØYK;Hanse 370 E;Samson II
4;NOR-8542;Odd AANDAL;DSSF;DYNAMIC 43;Vela Felicia
5;NOR-5887;Tryggve SPILDE;BÆRU;MAMBA 341;Uro
6;NOR-5105;Rune SØGNEN;NESO;ALBIN DELTA;EIR
7;NOR-11124;Morten PERSSON;ASKR;42 Custom Cruiser;Mantra

Singlehanded
1;NOR-12488;Morten KNUDSEN;MOSS;First 34.7;Lethe
2;NOR-15924;Christer LIE;BÆRU;Arcona 430;Feelgood
3;NOR-15670;Harald WALDER;BÆRU;JPK 10.80;Mika
4;NOR-33005;Frode TOBIASSON;BUND;SunFast 3300;Argo VIII
5;NOR-13533;Eira NAUSTVIK;KNS;Sun fast 3200;Cruella deVil
6;NOR-16070;Geir Kåre SANDSLETH;MOSS;International 806;Sutalaus
7;NOR-4596;Lars Magnus CHRISTENSEN;BÆRU;OMEGA 30;Alfa
8;NOR-11285;Frank SANDBERG;KNS;Sun Fast 35;Tusså
9;NOR-15689;Christian HUSE;FSEIL;Seascape 24;MAVERICK
