Doublehanded (Mefjord)
10;NOR-15560;Frode JOHANSEN;BREV;Aquatich 40;Snakkas
11;NOR-14202;Anders GJESDAL;STAV;First 44.7;FRI FLYT
12;NOR-16440;Vegard HEGGEM;BREV;XP44;Roccabella
13;NOR-13853;Karine RØSTAD;KNS;IMX 45;philoXenia
14;NOR-11211;Truls S JOHNSTAD-MØLLER;KNS;J/V 47;RAMBLER 77
14;NOR-12050;Claus LANDMARK;KNS;X-50 (2.7);Xelene
14;NOR-15044;Rune KRISTENSEN;ASKR;XP-44;siXpack
14;NOR-9050;Jon LETTING;KNS;X-512;Lady XL

Flerskrog
1;NOR-357M;Hans Ulrik GRÜNERT;ASKR;Dragonfly 25 Sport;Wingman
2;NOR-242M;Odd Marius ROSVOLD;VIFL;TRT 1200;Vaaghals
3;NOR-320M;Line Katrin RØDSETH;NESO;Dreagonfly 32 Supreme;Ruffen
4;NOR-337;Jan-Kristian VEDELER;TØSF;Dragon;SJAMAN
4;NOR-283M;Petter M MOWINCKEL;ASKR;Fusion 40;Maggy VII
4;NOR-296M;Johan HANSTEEN;HOLM;Flerskrog;KATLA
