
NOR Rating - Bane liten klasse - klasseflagg Q
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;Race 3;Race 4;Race 5;Race 6;
8;NOR-10044;WENDIGO 2;Dehleer 36 JV;18;6;;;DNF (12);Gunnar Gundersen (Kongelig Norsk Seilforening
9;NOR-12538;MASITO;Hanse 430;20;8;DNF (12);;;Eivind Bakke (Bundefjorden Seilforening
10;NOR-15425;MARLIN;Arcona 380;21;9;DNF (12);;;Bjørn Dalen (Bærum Seilforening
11;NOR-14788;STOREFRI;Bavaria 40 cr;23;11;DNF (12);;;Lars Krogh (Bundefjorden Seilforening

Shorthanded - Distanseseilas begge dager - klasseflagg O
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-10203;JAKOBINE;J/92;4;1;3;;;Yngve Lønmo (Hurum Seilforening
2;NOR-141;WII;Platu25 MOD;5;4;1;;;Ole Aabel (Asker Seilforening
3;NOR-10580;STAKKATO;First 27.7;10;5;5;;;Eirik Nordli (Bundefjorden Seilforening
4;NOR-15461;FLYING SCOTSMAN;Sun Fast 3600;11;2;9;;;Colin Campbell (Hurum Seilforening
5;NOR-15670;MIKA;JPK 10.80;11;3;8;;;HARALD WALDER (Bærum Seilforening
6;NOR-14784;KåRSTUA;Elan 310;12;8;4;;;Andreas Abildgaard (Kongelig Norsk Seilforening
7;NOR-12392;RAGNHILD;First 31.7;13;7;6;;;Edvard Aspelund (Bundefjorden Seilforening
8;NOR-160;POINT 2 POINT;11 Meter;18;DNC (16);;;2;Anders Larsson (Asker Seilforening
9;NOR-11956;MORILD;Elan 37;18;11;7;;;Olav Mork Bjørnås (Nesodden Seilforening
10;NOR-5952;EXCITER;Scanmar 33;22;6;DNF (16);;;Oddvar Eide (Hurum Seilforening
11;NOR-9979;RIPSTICK;J 92;25;9;DNF (16);;;Peter Holm (Bærum Seilforening
12;NOR-28;HYAK;SunFast 3200;26;10;DNF (16);;;Pål Kragerud (Kongelig Norsk Seilforening
13;NOR-13533;CRUELLA;Sun fast 3200;28;12;DNF (16);;;Eira Naustvik (Asker Seilforening
14;NOR-15413;RUBIN 4;Dehler 38;29;13;DNF (16);;;Harald Helverschou (Kongelig Norsk Seilforening
